Memory:,Graphics Card:,CPU:,File Size:,OS:,name
 6 GB, NVIDIA GeForce GTX 980 , Intel Core i5-6600 , 30 GB, Windows 10,Hogwarts Legacy System Requirements
 8 GB, NVIDIA GeForce GTX 960 , Intel Core i5-2500K , 70 GB, Windows 10 64-bit,God of War System Requirements
 8 GB, NVIDIA GeForce GTX 970  or Radeon RX 470, Intel Core i5-3570K  or FX-8310, 70 GB, Windows 10 64-Bit,Cyberpunk 2077 System Requirements
 4 GB, Intel HD 4000  or Radeon HD 7870, Intel Core i3-3225 , 15 GB, Windows 7/8/10 64-bit,Fortnite System Requirements
 4 GB, Intel HD 4000 , Intel Core 2 Duo E8400  or Athlon 200GE, 23 GB, Windows 7 64-bit,Valorant System Requirements
 8 GB, AMD Radeon R9 280 , AMD FX-6300 , 150 GB, Windows 7 64-Bit,Red Dead Redemption 2 System Requirements
 4 GB, NVIDIA GeForce GTX 470 , Intel Core 2 Quad Q9705 , 3 GB, Windows 7 64-bit,Choo-Choo Charles System Requirements
 6 GB, NVIDIA GeForce GT 640  or Radeon HD 7730, Intel Core i3-6300  or FX-4350, 22 GB, Windows 7 64-bit,Apex Legends System Requirements
8 GB,AMD Radeon R9 280,Intel Core i7-3770,10 GB,Requires a 64-bit processor and operating system,Rust System Requirements
 4 GB, NVIDIA GeForce GTX 1050 , Intel Celeron G4900 , 64 GB, Windows 10,Windows 11 System Requirements
 8 GB, NVIDIA GeForce GTX 950 , Intel Core i3-4160 , 75 GB, Windows 10 64-bit,Marvel’s Spider-Man Remastered System Requirements
 8 GB, NVIDIA GeForce GTX 1050 Ti , Intel Core i5-8600 , 50 GB, Windows 10 64-bit,Need for Speed Unbound System Requirements
 8 GB, AMD Radeon RX 560 , Intel Core i5-3470 , 80 GB, Windows 10,Death Stranding System Requirements
 4 GB, AMD GeForce 9600M GT , AMD Athlon 64 FX-34 , 7 GB, Windows 7,Football Manager 2023 System Requirements
 2 GB, NVIDIA GeForce 8600 GT , Intel Core 2 Duo E6600 , 16 GB, Windows XP,Call of Duty Modern Warfare 3 System Requirements
 256 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 310 MB, Windows 7/8/8.1/10,Xenia System Requirements
 8 GB, AMD Radeon HD 6850 , Intel Core i3-2340UE , 50 GB, Windows 10 (64-bit only),Lost Ark System Requirements
 8 GB, NVIDIA GeForce GTX 460 , Intel Core i3-4170 , 25 GB," 64-bit Operating Systems (Windows 7, Windows 8.1)",Dead by Daylight System Requirements
 4 GB, ATI Radeon HD 5850 , Intel Core i5-750 , 30 GB, Windows® 7 (SP1) / Windows® 8 / Windows® 8.1 / (64-bit only),Far Cry 4 System Requirements
 8 GB, AMD Radeon HD 7850 , Intel Core i3-3225 , 90 GB, Windows 7 64-Bit,Call of Duty WW2 System Requirements
6 GB,AMD Radeon HD 5450,Intel Core 2 Duo E8400,4 GB,Ubuntu 12.04,7 Days to Die System Requirements
 8 GB, NVIDIA GeForce GTX 660 , AMD Phenom II X4 965 , 50 GB, Windows 7,FIFA 20 System Requirements
 8 GB, AMD Radeon RX 470 , Intel Core i5-9600K , 80 GB, Windows 10 64-bit (Version 1909) | For Ray Tracing or VR: Windows 10 64-bit (Version 2004),F1® 22 System Requirements
 8 GB, AMD Radeon RX 470 , Intel Core i5-4590 , 14 GB, Windows 10 64bit (min version 1809),Jurassic World Evolution 2 System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-8600K  or Ryzen 5 2600X, 1 GB, Microsoft Windows 10,Dead Space System Requirements
 4 GB, AMD Radeon HD 7870 , Intel Core i5-3470 , 40 GB, Windows 7 SP1/8.1/10 - 64bit,eFootball  PES 2020 System Requirements
 4 GB, AMD Radeon Pro 450 , Intel Core i3-530 , 10 GB," Windows7SP1, Windows8.1, Windows10",Lost Light System Requirements
 8 GB, NVIDIA GeForce GTX 1060 , Intel Core i5-3550 , 60 GB, Windows 10 64-bit,WWE 2K22 System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Unknown,DCS World Steam Edition System Requirements
 8 GB, AMD Radeon R7 250 , AMD FX-4350 , 22 GB, Windows 10,Sifu System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Unknown,Call of Duty Ghosts System Requirements
 6 GB, NVIDIA GeForce GTX 680 , Intel Core i5-3570 , 75 GB, Windows 7 Upwards 64 bit,Borderlands 3 System Requirements
 8 GB, NVIDIA GeForce GTX 780 Ti , Intel Core i7-3770 , Unknown, Windows 10,Detroit: Become Human System Requirements
 8 GB, NVIDIA GeForce GTS 450 , Intel Core i5-4590 , 500 MB, Windows 8.1,Blender System Requirements
 4 GB, AMD Radeon HD 5670 , Intel Core 2 Duo E8400 , 32 GB, Windows 7 SP1 (64bit),Arma 3 System Requirements
 8 GB, AMD Radeon RX 480 , AMD FX-8350 , 100 GB, Windows 10 64-bit, Final Fantasy 7 Remake Intergrade System Requirements
 8 GB, AMD Radeon RX 570 , Intel Core i5-4460 , 50 GB, Windows 10,Halo Infinite System Requirements
 8 GB, NVIDIA GeForce GTX 750 Ti  or Radeon RX 460, Intel Core i5-2500K  or FX-6300, 40 GB, windows 10,Evil West System Requirements
 8 GB, AMD Radeon R9 270X , Intel Core i5-2500 , 16 GB, Windows 7 (SP1+)/8.1/10 64bit,Planet Zoo System Requirements
 4 GB, NVIDIA GeForce GTX 260 , Intel Core 2 Quad Q6600 , 10 GB, Windows Vista (x86 or x64),Saints Row 4 System Requirements
 6 GB, NVIDIA GeForce GTX 660 , Intel Core i3-4160 , 60 GB, Windows 7/8/10 (64-bit OS required),TEKKEN 7 System Requirements
 8 GB, NVIDIA GeForce GTX 1050 Ti , Intel Core i5-4690K , 12 GB, Windows 10,Goat Simulator 3 System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 12 GB, Windows 7 SP1 or newer,Mortal Shell System Requirements
 8 GB, NVIDIA GeForce GTX 470 , Intel Core 2 Quad Q9705 , 2 GB, Windows 7,Pro Soccer Online System Requirements
 2 GB, ATI Radeon HD 3870 , Intel Core 2 Duo E8200 , 16 GB, Windows 7,Call of Duty Black Ops 2 System Requirements
 8 GB, NVIDIA GeForce GTX 960  or Radeon R9 290X, Intel Core i5-4330M  or Ryzen 3 1200, 126 GB, Windows 10,UNCHARTED™: Legacy of Thieves Collection System Requirements
 4 GB, NVIDIA GeForce GTX 1060 , Intel Core i5 750S , 4 GB, Windows 7,Teardown System Requirements
 4 GB, ATI Radeon HD 3870 , Intel Core i3-530 , 27 GB, Windows 7 or higher (32-bit or 64-bit),Black Desert Online System Requirements
 8 GB, NVIDIA GeForce GTX 1050 , Intel Core i5-6600K , 50 GB," 64-bit Windows 7, Windows 8.1 and Windows 10",Battlefield 5 System Requirements
 2 GB, NVIDIA GeForce GTX 460 , Intel Core 2 Duo U7500 , 15 GB, Windows 7 Sp1 - 8 - 8.1 - 10,Assetto Corsa System Requirements
 8 GB, AMD Radeon RX 580 , Intel Core i5-4400E , 20 GB, Windows 10,PROJECT: PLAYTIME System Requirements
8 GB,AMD Radeon HD 7870,Intel Core i5-2400,60 GB,Ubuntu Equivalent Distro,ARK: Survival Evolved System Requirements
8 GB,AMD Radeon HD 5450,Intel Core 2 Quad Q9705,Unknown,Unknown,Project Zomboid System Requirements
 8 GB, AMD Radeon RX 470 , Intel Core i3-4160 , 75 GB, Windows 10 64-bit 1909,Marvel’s Spider-Man: Miles Morales System Requirements
 2 GB, AMD Radeon HD 6570 , Intel Core i3-530 , 16 GB," Windows XP (Service Pack 3 ONLY), Windows Vista, Windows 7, Windows 8, or Windows 10",League of Legends System Requirements
 8 GB, NVIDIA GeForce GTX 550 Ti , Intel Core i3-6300 , 18 GB, Windows 7 Service Pack 1,BeamNG.drive System Requirements
 8 GB, AMD Radeon HD 7750 , Intel Core i3-3220 , 55 GB, 64-bit Windows 7/8.1/10,Star Wars Jedi: Fallen Order System Requirements
 8 GB, AMD Radeon R7 360 , Intel Core i5-2300 , 10 GB, Windows 10,Stray System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i3-6100 , 8 GB, Windows 10 64-Bit,Adobe Premiere Pro System Requirements
 4 GB, AMD Radeon HD 5450 , Intel Core 2 Duo Q6867 , 500 MB, XP SP3 or later,Dwarf Fortress System Requirements
